LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,92,,
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,89,,
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
CAN,Canada,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,92,,
CZE,Czech Republic,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,85,,
DNK,Denmark,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,95,,
FIN,Finland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,95,,
FRA,France,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,87,,
DEU,Germany,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
GRC,Greece,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,83,,
HUN,Hungary,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,87,,
ISL,Iceland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,96,,
IRL,Ireland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,96,,
ITA,Italy,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
JPN,Japan,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,89,,
KOR,Korea,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,72,,
LUX,Luxembourg,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,87,,
MEX,Mexico,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,77,,
NLD,Netherlands,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
NZL,New Zealand,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
NOR,Norway,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
POL,Poland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,91,,
PRT,Portugal,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,86,,
SVK,Slovak Republic,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
ESP,Spain,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,95,,
SWE,Sweden,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,92,,
CHE,Switzerland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,96,,
TUR,Turkey,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,86,,
GBR,United Kingdom,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,91,,
USA,United States,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
BRA,Brazil,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
CHL,Chile,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,86,,
EST,Estonia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,89,,
ISR,Israel,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,87,,
RUS,Russia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
SVN,Slovenia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
AUS,Australia,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,13,,
AUT,Austria,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,27,,
BEL,Belgium,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,21,,
CAN,Canada,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,15,,
CZE,Czech Republic,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,16,,
DNK,Denmark,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,15,,
FIN,Finland,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,15,,
FRA,France,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,12,,
DEU,Germany,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,16,,
GRC,Greece,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,27,,
HUN,Hungary,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,15,,
ISL,Iceland,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,18,,
IRL,Ireland,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,13,,
ITA,Italy,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,21,,
JPN,Japan,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,24,,
KOR,Korea,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,30,,
LUX,Luxembourg,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,12,,
MEX,Mexico,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,30,,
NLD,Netherlands,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,30,,
NZL,New Zealand,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,11,,
NOR,Norway,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,16,,
POL,Poland,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,33,,
PRT,Portugal,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,18,,
SVK,Slovak Republic,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,13,,
ESP,Spain,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,24,,
SWE,Sweden,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,10,,
CHE,Switzerland,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,20,,
TUR,Turkey,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,35,,
GBR,United Kingdom,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,13,,
USA,United States,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,18,,
BRA,Brazil,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,18,,
CHL,Chile,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,46,,
EST,Estonia,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,9,,
ISR,Israel,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,21,,
RUS,Russia,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,15,,
SVN,Slovenia,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,units,,,26,,
AUS,Australia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,91,,
AUT,Austria,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
BEL,Belgium,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,87,,
CAN,Canada,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,91,,
CZE,Czech Republic,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,85,,
DNK,Denmark,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
FIN,Finland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
FRA,France,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,82,,
DEU,Germany,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,95,,
GRC,Greece,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,69,,
HUN,Hungary,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,77,,
ISL,Iceland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,97,,
IRL,Ireland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,80,,
ITA,Italy,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,71,,
JPN,Japan,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,85,,
KOR,Korea,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,78,,
LUX,Luxembourg,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,86,,
MEX,Mexico,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,67,,
NLD,Netherlands,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,92,,
NZL,New Zealand,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,89,,
NOR,Norway,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,94,,
POL,Poland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,79,,
PRT,Portugal,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,86,,
SVK,Slovak Republic,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,81,,
ESP,Spain,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,71,,
SWE,Sweden,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,95,,
CHE,Switzerland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,96,,
TUR,Turkey,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,62,,
GBR,United Kingdom,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,88,,
USA,United States,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,85,,
BRA,Brazil,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,72,,
CHL,Chile,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,73,,
EST,Estonia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,79,,
ISR,Israel,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,68,,
RUS,Russia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,56,,
SVN,Slovenia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,units,,,88,,
AUS,Australia,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,85,,
AUT,Austria,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,69,,
BEL,Belgium,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,74,,
CAN,Canada,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,89,,
CZE,Czech Republic,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,60,,
DNK,Denmark,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,72,,
FIN,Finland,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,65,,
FRA,France,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,67,,
DEU,Germany,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,65,,
GRC,Greece,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,74,,
HUN,Hungary,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,57,,
ISL,Iceland,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,77,,
IRL,Ireland,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,82,,
ITA,Italy,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,66,,
JPN,Japan,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,30,,
KOR,Korea,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,35,,
LUX,Luxembourg,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,72,,
MEX,Mexico,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,66,,
NLD,Netherlands,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,76,,
NZL,New Zealand,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,90,,
NOR,Norway,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,76,,
POL,Poland,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,58,,
PRT,Portugal,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,46,,
SVK,Slovak Republic,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,units,,,66,,
